energy,energy_full,energy_full_design,energy_rate,query_moment,benchmark_running
84024,136404,205200,5.926,2025-03-24 23:07:17,false
83952,136404,205200,6.0130005,2025-03-24 23:07:27,false
83880,136404,205200,6.1280003,2025-03-24 23:07:38,true
83808,136404,205200,6.6280003,2025-03-24 23:07:48,true
83628,136404,205200,7.359,2025-03-24 23:07:58,true
83556,136404,205200,7.5080004,2025-03-24 23:08:09,true
83484,136404,205200,7.6530004,2025-03-24 23:08:19,true
83412,136404,205200,7.602,2025-03-24 23:08:29,true
83376,136404,205200,7.5680003,2025-03-24 23:08:40,true
83232,136404,205200,7.5200005,2025-03-24 23:08:50,true
83160,136404,205200,7.5270004,2025-03-24 23:09:00,true
83088,136404,205200,7.484,2025-03-24 23:09:11,true
83052,136404,205200,7.4090004,2025-03-24 23:09:21,true
82944,136404,205200,7.3830004,2025-03-24 23:09:31,true
82836,136404,205200,7.2830005,2025-03-24 23:09:42,true
82800,136404,205200,7.2980003,2025-03-24 23:09:52,true
82728,136404,205200,7.3030005,2025-03-24 23:10:03,true
82584,136404,205200,7.268,2025-03-24 23:10:13,true
82548,136404,205200,7.2890005,2025-03-24 23:10:24,true
82476,136404,205200,7.195,2025-03-24 23:10:34,true
82404,136404,205200,7.3120003,2025-03-24 23:10:44,true
82368,136404,205200,7.3700004,2025-03-24 23:10:54,true
82224,136404,205200,7.314,2025-03-24 23:11:05,true
82152,136404,205200,7.2970004,2025-03-24 23:11:15,true
82116,136404,205200,7.28,2025-03-24 23:11:25,true
82008,136404,205200,7.306,2025-03-24 23:11:36,true
81972,136404,205200,7.3110003,2025-03-24 23:11:46,true
81828,136404,205200,7.1940002,2025-03-24 23:11:56,true
81756,136404,205200,7.2830005,2025-03-24 23:12:07,true
81720,136404,205200,7.2890005,2025-03-24 23:12:17,true
81612,136404,205200,7.3380003,2025-03-24 23:12:27,true
81540,136404,205200,7.2900004,2025-03-24 23:12:38,true
81432,136404,205200,7.3980002,2025-03-24 23:12:48,true
81396,136404,205200,7.2790003,2025-03-24 23:12:58,true
81324,136404,205200,7.3230004,2025-03-24 23:13:09,true
81216,136404,205200,7.4680004,2025-03-24 23:13:19,true
81108,136404,205200,7.5160003,2025-03-24 23:13:29,true
81036,136404,205200,7.6240005,2025-03-24 23:13:40,true
80964,136404,205200,7.6580005,2025-03-24 23:13:50,true
80928,136404,205200,7.6060004,2025-03-24 23:14:00,true
80784,136404,205200,7.6380005,2025-03-24 23:14:11,true
80712,136404,205200,7.51,2025-03-24 23:14:21,true
80640,136404,205200,7.5280004,2025-03-24 23:14:32,true
80568,136404,205200,7.4170003,2025-03-24 23:14:42,true
80496,136404,205200,7.3320003,2025-03-24 23:14:53,true
80388,136404,205200,7.3880005,2025-03-24 23:15:03,true
80316,136404,205200,7.4680004,2025-03-24 23:15:13,true
80244,136404,205200,7.2460003,2025-03-24 23:15:24,true
79992,136404,205200,8.518001,2025-03-24 23:15:35,true
79920,136404,205200,9.593,2025-03-24 23:15:45,true
79776,136404,205200,9.711,2025-03-24 23:15:56,true
79704,136404,205200,9.940001,2025-03-24 23:16:06,true
79560,136404,205200,10.727,2025-03-24 23:16:16,true
79308,136404,205200,11.842001,2025-03-24 23:16:27,true
79164,136404,205200,11.831,2025-03-24 23:16:38,true
78984,136404,205200,13.097001,2025-03-24 23:16:49,true
78624,136404,205200,14.788001,2025-03-24 23:17:00,true
78552,136404,205200,13.885,2025-03-24 23:17:10,true
78516,136404,205200,13.120001,2025-03-24 23:17:20,true
78408,136404,205200,12.395,2025-03-24 23:17:31,true
78264,136404,205200,12.121,2025-03-24 23:17:41,true
78084,136404,205200,12.849001,2025-03-24 23:17:52,true
77940,136404,205200,12.798,2025-03-24 23:18:02,true
77868,136404,205200,12.944,2025-03-24 23:18:13,true
77760,136404,205200,12.412001,2025-03-24 23:18:23,true
77508,136404,205200,12.641001,2025-03-24 23:18:34,true
77472,136404,205200,11.871,2025-03-24 23:18:44,true
77364,136404,205200,11.469001,2025-03-24 23:18:55,true
77292,136404,205200,11.179001,2025-03-24 23:19:05,true
77148,136404,205200,10.739,2025-03-24 23:19:16,false
77076,136404,205200,10.298,2025-03-24 23:19:26,false
77004,136404,205200,9.847,2025-03-24 23:19:37,false
76968,136404,205200,9.194,2025-03-24 23:19:47,false
76896,136404,205200,8.198,2025-03-24 23:19:58,false
76860,136404,205200,7.793,2025-03-24 23:20:08,false
76788,136404,205200,7.399,2025-03-24 23:20:18,false
76752,136404,205200,7.077,2025-03-24 23:20:29,false
76680,136404,205200,6.5070004,2025-03-24 23:20:39,false
76644,136404,205200,6.334,2025-03-24 23:20:50,false
76572,136404,205200,6.1320004,2025-03-24 23:21:00,false
76536,136404,205200,5.9680004,2025-03-24 23:21:11,false
76500,136404,205200,5.806,2025-03-24 23:21:21,false
76392,136404,205200,5.5670004,2025-03-24 23:21:32,false
76356,136404,205200,5.4620004,2025-03-24 23:21:42,false
